Substantiv,bojning,Singular obestämd,Singular obestämd genitiv,Singular bestämd,Singular bestämd genitiv,Plural obestämd,Plural obestämd genitiv,Plural bestämd,Plural bestämd genitiv,Articles,Obestämd Initial Två Bokstäver,Bestämd Initial Två Bokstäver,Obestämd Initial Tre Bokstäver,Bestämd Initial Tre Bokstäver,Obestämd Slutlig Två Bokstäver,Bestämd Slutlig Två Bokstäver,Obestämd Slutlig Tre Bokstäver,Bestämd Slutlig Tre Bokstäver,Obestämd Vokalratio,Bestämd Vokalratio,Obestämd Ord Längd,Bestämd Ord Längd
komma,~t ~n ,komma,kommas,kommat,kommats,komman,kommans,kommana,kommanas,ett,ko,ko,kom,kom,ma,at,mma,mat,0.4,0.3333333333333333,5,6
taxonomi,~n ,taxonomi,taxonomis,taxonomin,taxonomins,NOP,NOP,NOP,NOP,en,ta,ta,tax,tax,mi,in,omi,min,0.5,0.4444444444444444,8,9
flertal,~et ,flertal,flertals,flertalet,flertalets,NOP,NOP,NOP,NOP,ett,fl,fl,fle,fle,al,et,tal,let,0.2857142857142857,0.3333333333333333,7,9
rutin,~en ~er ,rutin,rutins,rutinen,rutinens,rutiner,rutiners,rutinerna,rutinernas,en,ru,ru,rut,rut,in,en,tin,nen,0.4,0.42857142857142855,5,7
shiit,~en ~er ,shiit,shiits,shiiten,shiitens,shiiter,shiiters,shiiterna,shiiternas,en,sh,sh,shi,shi,it,en,iit,ten,0.4,0.42857142857142855,5,7
sångstil,~en ~ar ,sångstil,sångstils,sångstilen,sångstilens,sångstilar,sångstilars,sångstilarna,sångstilarnas,en,så,så,sån,sån,il,en,til,len,0.25,0.3,8,10
huvudsats,~en ~er ,huvudsats,huvudsats,huvudsatsen,huvudsatsens,huvudsatser,huvudsatsers,huvudsatserna,huvudsatsernas,en,hu,hu,huv,huv,ts,en,ats,sen,0.3333333333333333,0.36363636363636365,9,11
summa,~n summor ,summa,summas,summan,summans,summor,summors,summorna,summornas,en,su,su,sum,sum,ma,an,mma,man,0.4,0.3333333333333333,5,6
possessivpronomen,~et; pl. ~ el. ?pronomina,possessivpronomen,possessivpronomens,possessivpronomenet,possessivpronomenets,possessivpronomen (possessivpronomina),possessivpronomens (possessivpronominas),possessivpronomenen (possessivpronomina),possessivpronomenens (possessivpronominas),ett,po,po,pos,pos,en,et,men,net,0.35294117647058826,0.3684210526315789,17,19
morfem,~et; pl. ~ ,morfem,morfems,morfemet,morfemets,morfem,morfems,morfemen,morfemens,ett,mo,mo,mor,mor,em,et,fem,met,0.3333333333333333,0.375,6,8
design,~en ~er ,design,designs,designen,designens,designer,designers,designerna,designernas,en,de,de,des,des,gn,en,ign,nen,0.3333333333333333,0.375,6,8
förkortning,~en ~ar ,förkortning,förkortnings,förkortningen,förkortningens,förkortningar,förkortningars,förkortningarna,förkortningarnas,en,fö,fö,för,för,ng,en,ing,gen,0.2727272727272727,0.3076923076923077,11,13
sovande,~t ,sovande,sovandes,sovandet,sovandets,NOP,NOP,NOP,NOP,ett,so,so,sov,sov,de,et,nde,det,0.42857142857142855,0.375,7,8
jord,~en ~ar ,jord,jords,jorden,jordens,jordar,jordars,jordarna,jordarnas,en,jo,jo,jor,jor,rd,en,ord,den,0.25,0.3333333333333333,4,6
viktighet,~en ~er ,viktighet,viktighets,viktigheten,viktighetens,viktigheter,viktigheters,viktigheterna,viktigheternas,en,vi,vi,vik,vik,et,en,het,ten,0.3333333333333333,0.36363636363636365,9,11
