Substantiv,bojning,Singular obestämd,Singular obestämd genitiv,Singular bestämd,Singular bestämd genitiv,Plural obestämd,Plural obestämd genitiv,Plural bestämd,Plural bestämd genitiv,Articles,Obestämd Initial Två Bokstäver,Bestämd Initial Två Bokstäver,Obestämd Initial Tre Bokstäver,Bestämd Initial Tre Bokstäver,Obestämd Slutlig Två Bokstäver,Bestämd Slutlig Två Bokstäver,Obestämd Slutlig Tre Bokstäver,Bestämd Slutlig Tre Bokstäver,Obestämd Vokalratio,Bestämd Vokalratio,Obestämd Ord Längd,Bestämd Ord Längd
instans,~en ~er ,instans,instans,instansen,instansens,instanser,instansers,instanserna,instansernas,en,in,in,ins,ins,ns,en,ans,sen,0.2857142857142857,0.3333333333333333,7,9
logi,~n el. ~et; pl. ~er ,logi (ett logi),logis (ett logis),login (logiet),logins (logiets),logier,logiers,logierna,logiernas,en,lo,lo,log,log,gi,et,ogi,iet,0.3333333333333333,0.35714285714285715,15,14
sjukdom,~en ~ar ,sjukdom,sjukdoms,sjukdomen,sjukdomens,sjukdomar,sjukdomars,sjukdomarna,sjukdomarnas,en,sj,sj,sju,sju,om,en,dom,men,0.2857142857142857,0.3333333333333333,7,9
fallbeskrivning,~en ~ar ,fallbeskrivning,fallbeskrivnings,fallbeskrivningen,fallbeskrivningens,fallbeskrivningar,fallbeskrivningars,fallbeskrivningarna,fallbeskrivningarnas,en,fa,fa,fal,fal,ng,en,ing,gen,0.26666666666666666,0.29411764705882354,15,17
dis,~et ,dis,dis,diset,disets,NOP,NOP,NOP,NOP,ett,di,di,dis,dis,is,et,dis,set,0.3333333333333333,0.4,3,5
dis,~en ~er ,dis,dis,disen,disens,diser,disers,diserna,disernas,en,di,di,dis,dis,is,en,dis,sen,0.3333333333333333,0.4,3,5
partikelverb,~et; pl. ~ ,partikelverb,partikelverbs,partikelverbet,partikelverbets,partikelverb,partikelverbs,partikelverben,partikelverbens,ett,pa,pa,par,par,rb,et,erb,bet,0.3333333333333333,0.35714285714285715,12,14
program,~met; pl. ~,program,programs,programmet,programmets,program,programs,programmen,programmens,ett,pr,pr,pro,pro,am,et,ram,met,0.2857142857142857,0.3,7,10
förstor·ing,~en ~ar ,förstoring,förstorings,förstoringen,förstoringens,förstoringar,förstoringars,förstoringarna,förstoringarnas,en,fö,fö,för,för,ng,en,ing,gen,0.3,0.3333333333333333,10,12
lakej,~en ~er ,lakej,lakejs,lakejen,lakejens,lakejer,lakejers,lakejerna,lakejernas,en,la,la,lak,lak,ej,en,kej,jen,0.4,0.42857142857142855,5,7
motstånd,~et; pl. ~ ,motstånd,motstånds,motståndet,motståndets,motstånd,motstånds,motstånden,motståndens,ett,mo,mo,mot,mot,nd,et,ånd,det,0.25,0.3,8,10
undervisning,~en ~ar ,undervisning,undervisnings,undervisningen,undervisningens,undervisningar,undervisningars,undervisningarna,undervisningarnas,en,un,un,und,und,ng,en,ing,gen,0.3333333333333333,0.35714285714285715,12,14
stavningsregel,~n ?regler ,stavningsregel,stavningsregels,stavningsregeln,stavningsregelns,stavningsregler,stavningsreglers,stavningsreglerna,stavningsreglernas,en,st,st,sta,sta,el,ln,gel,eln,0.2857142857142857,0.26666666666666666,14,15
trygghet,~en ~er ,trygghet,trygghets,tryggheten,trygghetens,tryggheter,tryggheters,tryggheterna,tryggheternas,en,tr,tr,try,try,et,en,het,ten,0.25,0.3,8,10
kontext,~en ~er ,kontext,kontexts,kontexten,kontextens,kontexter,kontexters,kontexterna,kontexternas,en,ko,ko,kon,kon,xt,en,ext,ten,0.2857142857142857,0.3333333333333333,7,9
glad,~et; pl. ~ ,glad,glads,gladet,gladets,glad,glads,gladen,gladens,ett,gl,gl,gla,gla,ad,et,lad,det,0.25,0.3333333333333333,4,6
skyddsling,~en ~ar ,skyddsling,skyddslings,skyddslingen,skyddslingens,skyddslingar,skyddslingars,skyddslingarna,skyddslingarnas,en,sk,sk,sky,sky,ng,en,ing,gen,0.2,0.25,10,12
demens,~en ~er ,demens,demens,demensen,demensens,demenser,demensers,demenserna,demensernas,en,de,de,dem,dem,ns,en,ens,sen,0.3333333333333333,0.375,6,8
vår,~en ~ar ,vår,vårs,våren,vårens,vårar,vårars,vårarna,vårarnas,en,vå,vå,vår,vår,år,en,vår,ren,0.3333333333333333,0.4,3,5
medelpunkt,~en ~er ,medelpunkt,medelpunkts,medelpunkten,medelpunktens,medelpunkter,medelpunkters,medelpunkterna,medelpunkternas,en,me,me,med,med,kt,en,nkt,ten,0.3,0.3333333333333333,10,12
akronym,~en ~er ,akronym,akronyms,akronymen,akronymens,akronymer,akronymers,akronymerna,akronymernas,en,ak,ak,akr,akr,ym,en,nym,men,0.42857142857142855,0.4444444444444444,7,9
konkurrens,~en ~er ,konkurrens,konkurrens,konkurrensen,konkurrensens,konkurrenser,konkurrensers,konkurrenserna,konkurrensernas,en,ko,ko,kon,kon,ns,en,ens,sen,0.3,0.3333333333333333,10,12
avgift,~en ~er ,avgift,avgifts,avgiften,avgiftens,avgifter,avgifters,avgifterna,avgifternas,en,av,av,avg,avg,ft,en,ift,ten,0.3333333333333333,0.375,6,8
mottagare,~n; pl. ~,mottagare,mottagares,mottagaren,mottagarens,mottagare,mottagares,mottagarna,mottagarnas,en,mo,mo,mot,mot,re,en,are,ren,0.4444444444444444,0.4,9,10
skillnad,~en ~er ,skillnad,skillnads,skillnaden,skillnadens,skillnader,skillnaders,skillnaderna,skillnadernas,en,sk,sk,ski,ski,ad,en,nad,den,0.25,0.3,8,10
ställe,~t ~n ,ställe,ställes,stället,ställets,ställen,ställens,ställena,ställenas,ett,st,st,stä,stä,le,et,lle,let,0.3333333333333333,0.2857142857142857,6,7
område,~t ~n ,område,områdes,området,områdets,områden,områdens,områdena,områdenas,ett,om,om,omr,omr,de,et,åde,det,0.5,0.42857142857142855,6,7
spång,~en; pl. ~ar el. spänger ,spång,spångs,spången,spångens,spångar (spänger),spångars (spängers),spångarna (spängerna),spångarnas (spängernas),en,sp,sp,spå,spå,ng,en,ång,gen,0.2,0.2857142857142857,5,7
senvår,~en ~ar ,senvår,senvårs,senvåren,senvårens,senvårar,senvårars,senvårarna,senvårarnas,en,se,se,sen,sen,år,en,vår,ren,0.3333333333333333,0.375,6,8
förslag,~et; pl. ~ ,förslag,förslags,förslaget,förslagets,förslag,förslags,förslagen,förslagens,ett,fö,fö,för,för,ag,et,lag,get,0.2857142857142857,0.3333333333333333,7,9
förslag,~et; pl. ~ ,förslag,förslags,förslaget,förslagets,förslag,förslags,förslagen,förslagens,ett,fö,fö,för,för,ag,et,lag,get,0.2857142857142857,0.3333333333333333,7,9
verksamhet,~en ~er ,verksamhet,verksamhets,verksamheten,verksamhetens,verksamheter,verksamheters,verksamheterna,verksamheternas,en,ve,ve,ver,ver,et,en,het,ten,0.3,0.3333333333333333,10,12
partner,~n; pl. ~ hellre än ~s ,partner,partners,partnern,partnerns,partner (partners),partners,partnerna,partnernas,en,pa,pa,par,par,er,rn,ner,ern,0.2857142857142857,0.25,7,8
stöv,~et ,stöv,stövs,stövet,stövets,NOP,NOP,NOP,NOP,ett,st,st,stö,stö,öv,et,töv,vet,0.25,0.3333333333333333,4,6
dotter,~n döttrar ,dotter,dotters,dottern,dotterns,döttrar,döttrars,döttrarna,döttrarnas,en,do,do,dot,dot,er,rn,ter,ern,0.3333333333333333,0.2857142857142857,6,7
kameravinkel,~n ?vinklar ,kameravinkel,kameravinkels,kameravinkeln,kameravinkelns,kameravinklar,kameravinklars,kameravinklarna,kameravinklarnas,en,ka,ka,kam,kam,el,ln,kel,eln,0.4166666666666667,0.38461538461538464,12,13
helvete,~t ~n ,helvete,helvetes,helvetet,helvetets,helveten,helvetens,helvetena,helvetenas,ett,he,he,hel,hel,te,et,ete,tet,0.42857142857142855,0.375,7,8
saml·ingspunkt,~en ~er ,samlingspunkt,samlingspunkts,samlingspunkten,samlingspunktens,samlingspunkter,samlingspunkters,samlingspunkterna,samlingspunkternas,en,sa,sa,sam,sam,kt,en,nkt,ten,0.23076923076923078,0.26666666666666666,13,15
resultat,~et; pl. ~ ,resultat,resultats,resultatet,resultatets,resultat,resultats,resultaten,resultatens,ett,re,re,res,res,at,et,tat,tet,0.375,0.4,8,10
axel,~n axlar ,axel,axels,axeln,axelns,axlar,axlars,axlarna,axlarnas,en,ax,ax,axe,axe,el,ln,xel,eln,0.5,0.4,4,5
portofrihet,~en ,portofrihet,portofrihets,portofriheten,portofrihetens,NOP,NOP,NOP,NOP,en,po,po,por,por,et,en,het,ten,0.36363636363636365,0.38461538461538464,11,13
byggnad,~en ~er ,byggnad,byggnads,byggnaden,byggnadens,byggnader,byggnaders,byggnaderna,byggnadernas,en,by,by,byg,byg,ad,en,nad,den,0.2857142857142857,0.3333333333333333,7,9
hot,~et; pl. ~ ,hot,hots,hotet,hotets,hot,hots,hoten,hotens,ett,ho,ho,hot,hot,ot,et,hot,tet,0.3333333333333333,0.4,3,5
subrett,~en ~er ,subrett,subretts,subretten,subrettens,subretter,subretters,subretterna,subretternas,en,su,su,sub,sub,tt,en,ett,ten,0.2857142857142857,0.3333333333333333,7,9
present,~en ~er ,present,presents,presenten,presentens,presenter,presenters,presenterna,presenternas,en,pr,pr,pre,pre,nt,en,ent,ten,0.2857142857142857,0.3333333333333333,7,9
stadsdel,~en ~ar ,stadsdel,stadsdels,stadsdelen,stadsdelens,stadsdelar,stadsdelars,stadsdelarna,stadsdelarnas,en,st,st,sta,sta,el,en,del,len,0.25,0.3,8,10
sveda,~n ,sveda,svedas,svedan,svedans,NOP,NOP,NOP,NOP,en,sv,sv,sve,sve,da,an,eda,dan,0.4,0.3333333333333333,5,6
form,~en ~ar ,form,forms,formen,formens,formar,formars,formarna,formarnas,en,fo,fo,for,for,rm,en,orm,men,0.25,0.3333333333333333,4,6
form,~en ~er ,form,forms,formen,formens,former,formers,formerna,formernas,en,fo,fo,for,for,rm,en,orm,men,0.25,0.3333333333333333,4,6
stas,~en ~er ,stas,stas,stasen,stasens,staser,stasers,staserna,stasernas,en,st,st,sta,sta,as,en,tas,sen,0.25,0.3333333333333333,4,6
uppgift,~en ~er ,uppgift,uppgifts,uppgiften,uppgiftens,uppgifter,uppgifters,uppgifterna,uppgifternas,en,up,up,upp,upp,ft,en,ift,ten,0.2857142857142857,0.3333333333333333,7,9
lärare,~n; pl. ~,lärare,lärares,läraren,lärarens,lärare,lärares,lärarna,lärarnas,en,lä,lä,lär,lär,re,en,are,ren,0.5,0.42857142857142855,6,7
syskon,~et; pl. ~ ,syskon,syskons,syskonet,syskonets,syskon,syskons,syskonen,syskonens,ett,sy,sy,sys,sys,on,et,kon,net,0.3333333333333333,0.375,6,8
ontologi,~n ,ontologi,ontologis,ontologin,ontologins,NOP,NOP,NOP,NOP,en,on,on,ont,ont,gi,in,ogi,gin,0.5,0.4444444444444444,8,9
make,~n makar ,make,makes,maken,makens,makar,makars,makarna,makarnas,en,ma,ma,mak,mak,ke,en,ake,ken,0.5,0.4,4,5
seminarium,seminariet seminarier ,seminarium,seminariums,seminariet,seminariets,seminarier,seminariers,seminarierna,seminariernas,ett,se,se,sem,sem,um,et,ium,iet,0.5,0.5,10,10
språkgrupp,~en ~er ,språkgrupp,språkgrupps,språkgruppen,språkgruppens,språkgrupper,språkgruppers,språkgrupperna,språkgruppernas,en,sp,sp,spr,spr,pp,en,upp,pen,0.2,0.25,10,12
verkstad,~en el. vard. ?stan; pl. ?städer ,verkstad,verkstads,verkstaden (verkstan),verkstadens (verkstans),verkstäder,verkstäders,verkstäderna,verkstädernas,en,ve,ve,ver,ver,ad,an,tad,tan,0.25,0.23809523809523808,8,21
stavelse,~n ~r ,stavelse,stavelses,stavelsen,stavelsens,stavelser,stavelsers,stavelserna,stavelsernas,en,st,st,sta,sta,se,en,lse,sen,0.375,0.3333333333333333,8,9
fylla,~n fyllor ,fylla,fyllas,fyllan,fyllans,fyllor,fyllors,fyllorna,fyllornas,en,fy,fy,fyl,fyl,la,an,lla,lan,0.4,0.3333333333333333,5,6
sliper,~n sliprar ,sliper,slipers,slipern,sliperns,sliprar,sliprars,sliprarna,sliprarnas,en,sl,sl,sli,sli,er,rn,per,ern,0.3333333333333333,0.2857142857142857,6,7
kjol,~en ~ar ,kjol,kjols,kjolen,kjolens,kjolar,kjolars,kjolarna,kjolarnas,en,kj,kj,kjo,kjo,ol,en,jol,len,0.25,0.3333333333333333,4,6
psykologi,~n ,psykologi,psykologis,psykologin,psykologins,NOP,NOP,NOP,NOP,en,ps,ps,psy,psy,gi,in,ogi,gin,0.4444444444444444,0.4,9,10
generat·ion,~en ~er ,generation,generations,generationen,generationens,generationer,generationers,generationerna,generationernas,en,ge,ge,gen,gen,on,en,ion,nen,0.5,0.5,10,12
acklamat·ion,~en ~er ,acklamation,acklamations,acklamationen,acklamationens,acklamationer,acklamationers,acklamationerna,acklamationernas,en,ac,ac,ack,ack,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
preposit·ion,~en ~er ,preposition,prepositions,prepositionen,prepositionens,prepositioner,prepositioners,prepositionerna,prepositionernas,en,pr,pr,pre,pre,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
tid,~en ~er ,tid,tids,tiden,tidens,tider,tiders,tiderna,tidernas,en,ti,ti,tid,tid,id,en,tid,den,0.3333333333333333,0.4,3,5
kompis,~en ~ar ,kompis,kompis,kompisen,kompisens,kompisar,kompisars,kompisarna,kompisarnas,en,ko,ko,kom,kom,is,en,pis,sen,0.3333333333333333,0.375,6,8
system,~et; pl. ~ ,system,systems,systemet,systemets,system,systems,systemen,systemens,ett,sy,sy,sys,sys,em,et,tem,met,0.3333333333333333,0.375,6,8
skrivstil,~en ~ar ,skrivstil,skrivstils,skrivstilen,skrivstilens,skrivstilar,skrivstilars,skrivstilarna,skrivstilarnas,en,sk,sk,skr,skr,il,en,til,len,0.2222222222222222,0.2727272727272727,9,11
halvår,~et; pl. ~ ,halvår,halvårs,halvåret,halvårets,halvår,halvårs,halvåren,halvårens,ett,ha,ha,hal,hal,år,et,vår,ret,0.3333333333333333,0.375,6,8
kärlek,~en ~ar ,kärlek,kärleks,kärleken,kärlekens,kärlekar,kärlekars,kärlekarna,kärlekarnas,en,kä,kä,kär,kär,ek,en,lek,ken,0.3333333333333333,0.375,6,8
karta,~n kartor ,karta,kartas,kartan,kartans,kartor,kartors,kartorna,kartornas,en,ka,ka,kar,kar,ta,an,rta,tan,0.4,0.3333333333333333,5,6
litteratur,~en ~er ,litteratur,litteraturs,litteraturen,litteraturens,litteraturer,litteraturers,litteraturerna,litteraturernas,en,li,li,lit,lit,ur,en,tur,ren,0.4,0.4166666666666667,10,12
häst,~en ~ar ,häst,hästs,hästen,hästens,hästar,hästars,hästarna,hästarnas,en,hä,hä,häs,häs,st,en,äst,ten,0.25,0.3333333333333333,4,6
känsla,~n känslor ,känsla,känslas,känslan,känslans,känslor,känslors,känslorna,känslornas,en,kä,kä,kän,kän,la,an,sla,lan,0.3333333333333333,0.2857142857142857,6,7
månad,~en ~er ,månad,månads,månaden,månadens,månader,månaders,månaderna,månadernas,en,må,må,mån,mån,ad,en,nad,den,0.4,0.42857142857142855,5,7
mora,~n moror ,mora,moras,moran,morans,moror,morors,mororna,morornas,en,mo,mo,mor,mor,ra,an,ora,ran,0.5,0.4,4,5
ändelse,~n ~r ,ändelse,ändelses,ändelsen,ändelsens,ändelser,ändelsers,ändelserna,ändelsernas,en,än,än,änd,änd,se,en,lse,sen,0.42857142857142855,0.375,7,8
underlag,~et; pl. ~ ,underlag,underlags,underlaget,underlagets,underlag,underlags,underlagen,underlagens,ett,un,un,und,und,ag,et,lag,get,0.375,0.4,8,10
scenario,~t; pl. scenarier el. ~n ,scenario,scenarios,scenariot,scenariots,scenarier (scenarion),scenariers (scenarions),scenarierna (scenariona),scenariernas (scenarionas),ett,sc,sc,sce,sce,io,ot,rio,iot,0.5,0.4444444444444444,8,9
samarbete,~t ~n ,samarbete,samarbetes,samarbetet,samarbetets,samarbeten,samarbetens,samarbetena,samarbetenas,ett,sa,sa,sam,sam,te,et,ete,tet,0.4444444444444444,0.4,9,10
segment,~et; pl. ~ ,segment,segments,segmentet,segmentets,segment,segments,segmenten,segmentens,ett,se,se,seg,seg,nt,et,ent,tet,0.2857142857142857,0.3333333333333333,7,9
padel,~n ,padel,padels,padeln,padelns,NOP,NOP,NOP,NOP,en,pa,pa,pad,pad,el,ln,del,eln,0.4,0.3333333333333333,5,6
indikativ,~en ~er ,indikativ,indikativs,indikativen,indikativens,indikativer,indikativers,indikativerna,indikativernas,en,in,in,ind,ind,iv,en,tiv,ven,0.4444444444444444,0.45454545454545453,9,11
stockholmska,~n ?holmskor ,stockholmska,stockholmskas,stockholmskan,stockholmskans,stockholmskor,stockholmskors,stockholmskorna,stockholmskornas,en,st,st,sto,sto,ka,an,ska,kan,0.25,0.23076923076923078,12,13
åtgärd,~en ~er ,åtgärd,åtgärds,åtgärden,åtgärdens,åtgärder,åtgärders,åtgärderna,åtgärdernas,en,åt,åt,åtg,åtg,rd,en,ärd,den,0.3333333333333333,0.375,6,8
kognit·ion,~en ,kognition,kognitions,kognitionen,kognitionens,NOP,NOP,NOP,NOP,en,ko,ko,kog,kog,on,en,ion,nen,0.4444444444444444,0.45454545454545453,9,11
ansvar,~et; pl. ~ ,ansvar,ansvars,ansvaret,ansvarets,ansvar,ansvars,ansvaren,ansvarens,ett,an,an,ans,ans,ar,et,var,ret,0.3333333333333333,0.375,6,8
alternativ,~et; pl. ~ ,alternativ,alternativs,alternativet,alternativets,alternativ,alternativs,alternativen,alternativens,ett,al,al,alt,alt,iv,et,tiv,vet,0.4,0.4166666666666667,10,12
djur,~et; pl. ~ ,djur,djurs,djuret,djurets,djur,djurs,djuren,djurens,ett,dj,dj,dju,dju,ur,et,jur,ret,0.25,0.3333333333333333,4,6
projekt,~et; pl. ~ ,projekt,projekts,projektet,projektets,projekt,projekts,projekten,projektens,ett,pr,pr,pro,pro,kt,et,ekt,tet,0.2857142857142857,0.3333333333333333,7,9
dricka,~n drickor ,dricka,drickas,drickan,drickans,drickor,drickors,drickorna,drickornas,en,dr,dr,dri,dri,ka,an,cka,kan,0.3333333333333333,0.2857142857142857,6,7
dricka,~t ,dricka,drickas,drickat,drickats,NOP,NOP,NOP,NOP,ett,dr,dr,dri,dri,ka,at,cka,kat,0.3333333333333333,0.2857142857142857,6,7
kalender,~n kalendrar ,kalender,kalenders,kalendern,kalenderns,kalendrar,kalendrars,kalendrarna,kalendrarnas,en,ka,ka,kal,kal,er,rn,der,ern,0.375,0.3333333333333333,8,9
bula,~n bulor ,bula,bulas,bulan,bulans,bulor,bulors,bulorna,bulornas,en,bu,bu,bul,bul,la,an,ula,lan,0.5,0.4,4,5
hand,~en händer ,hand,hands,handen,handens,händer,händers,händerna,händernas,en,ha,ha,han,han,nd,en,and,den,0.25,0.3333333333333333,4,6
hav,~et; pl. ~ ,hav,havs,havet,havets,hav,havs,haven,havens,ett,ha,ha,hav,hav,av,et,hav,vet,0.3333333333333333,0.4,3,5
museum,museet museer ,museum,museums,museet,museets,museer,museers,museerna,museernas,ett,mu,mu,mus,mus,um,et,eum,eet,0.5,0.5,6,6
initial,~en ~er ,initial,initials,initialen,initialens,initialer,initialers,initialerna,initialernas,en,in,in,ini,ini,al,en,ial,len,0.5714285714285714,0.5555555555555556,7,9
förändr·ing,~en ~ar ,förändring,förändrings,förändringen,förändringens,förändringar,förändringars,förändringarna,förändringarnas,en,fö,fö,för,för,ng,en,ing,gen,0.3,0.3333333333333333,10,12
syll,~en ~ar ,syll,sylls,syllen,syllens,syllar,syllars,syllarna,syllarnas,en,sy,sy,syl,syl,ll,en,yll,len,0.25,0.3333333333333333,4,6
referent,~en ~er ,referent,referents,referenten,referentens,referenter,referenters,referenterna,referenternas,en,re,re,ref,ref,nt,en,ent,ten,0.375,0.4,8,10
förordn·ing,~en ~ar ,förordning,förordnings,förordningen,förordningens,förordningar,förordningars,förordningarna,förordningarnas,en,fö,fö,för,för,ng,en,ing,gen,0.3,0.3333333333333333,10,12
dyslexi,~n ,dyslexi,dyslexis,dyslexin,dyslexins,NOP,NOP,NOP,NOP,en,dy,dy,dys,dys,xi,in,exi,xin,0.42857142857142855,0.375,7,8
app,~en ~ar ,app,apps,appen,appens,appar,appars,apparna,apparnas,en,ap,ap,app,app,pp,en,app,pen,0.3333333333333333,0.4,3,5
ingrepp,~et; pl. ~ ,ingrepp,ingrepps,ingreppet,ingreppets,ingrepp,ingrepps,ingreppen,ingreppens,ett,in,in,ing,ing,pp,et,epp,pet,0.2857142857142857,0.3333333333333333,7,9
streamning,~en ~ar ,streamning (en streaming),streamnings (en streamings),streamningen (streamingen),streamningens (streamingens),streamningar (streamingar),streamningars (streamingars),streamningarna (streamingarna),streamningarnas (streamingarnas),en,st,st,str,str,ng,en,ing,gen,0.28,0.3076923076923077,25,26
lärare,~n; pl. ~,lärare,lärares,läraren,lärarens,lärare,lärares,lärarna,lärarnas,en,lä,lä,lär,lär,re,en,are,ren,0.5,0.42857142857142855,6,7
uttalsordbok,~en ?ordböcker ,uttalsordbok,uttalsordboks,uttalsordboken,uttalsordbokens,uttalsordböcker,uttalsordböckers,uttalsordböckerna,uttalsordböckernas,en,ut,ut,utt,utt,ok,en,bok,ken,0.3333333333333333,0.35714285714285715,12,14
alvar,~et ,alvar,alvars,alvaret,alvarets,NOP,NOP,NOP,NOP,ett,al,al,alv,alv,ar,et,var,ret,0.4,0.42857142857142855,5,7
fakultet,~en ~er ,fakultet,fakultets,fakulteten,fakultetens,fakulteter,fakulteters,fakulteterna,fakulteternas,en,fa,fa,fak,fak,et,en,tet,ten,0.375,0.4,8,10
syntes,~en ~er ,syntes,syntes,syntesen,syntesens,synteser,syntesers,synteserna,syntesernas,en,sy,sy,syn,syn,es,en,tes,sen,0.3333333333333333,0.375,6,8
färja,~n färjor ,färja,färjas,färjan,färjans,färjor,färjors,färjorna,färjornas,en,fä,fä,fär,fär,ja,an,rja,jan,0.4,0.3333333333333333,5,6
sida,~n sidor ,sida,sidas,sidan,sidans,sidor,sidors,sidorna,sidornas,en,si,si,sid,sid,da,an,ida,dan,0.5,0.4,4,5
slang,~en ~ar ,slang,slangs,slangen,slangens,slangar,slangars,slangarna,slangarnas,en,sl,sl,sla,sla,ng,en,ang,gen,0.2,0.2857142857142857,5,7
slang,~en ,slang,slangs,slangen,slangens,NOP,NOP,NOP,NOP,en,sl,sl,sla,sla,ng,en,ang,gen,0.2,0.2857142857142857,5,7
logga,~n loggor ,logga,loggas,loggan,loggans,loggor,loggors,loggorna,loggornas,en,lo,lo,log,log,ga,an,gga,gan,0.4,0.3333333333333333,5,6
hemsökelse,~n ~r ,hemsökelse,hemsökelses,hemsökelsen,hemsökelsens,hemsökelser,hemsökelsers,hemsökelserna,hemsökelsernas,en,he,he,hem,hem,se,en,lse,sen,0.4,0.36363636363636365,10,11
stadsbo,~n ~r ,stadsbo,stadsbos,stadsbon,stadsbons,stadsbor,stadsbors,stadsborna,stadsbornas,en,st,st,sta,sta,bo,on,sbo,bon,0.2857142857142857,0.25,7,8
skur,~en ~ar ,skur,skurs,skuren,skurens,skurar,skurars,skurarna,skurarnas,en,sk,sk,sku,sku,ur,en,kur,ren,0.25,0.3333333333333333,4,6
prevent·ion,~en ,prevention,preventions,preventionen,preventionens,NOP,NOP,NOP,NOP,en,pr,pr,pre,pre,on,en,ion,nen,0.4,0.4166666666666667,10,12
obsklass,~en ~er ,obsklass,obsklass,obsklassen,obsklassens,obsklasser,obsklassers,obsklasserna,obsklassernas,en,ob,ob,obs,obs,ss,en,ass,sen,0.25,0.3,8,10
radio,~n ,radio,radios,radion,radions,NOP,NOP,NOP,NOP,en,ra,ra,rad,rad,io,on,dio,ion,0.6,0.5,5,6
radio,~n; i pl. används vanl. ~apparater ,radio,radios,radion,radions,NOP,NOP,NOP,NOP,en,ra,ra,rad,rad,io,on,dio,ion,0.6,0.5,5,6
anställning,~en ~ar ,anställning,anställnings,anställningen,anställningens,anställningar,anställningars,anställningarna,anställningarnas,en,an,an,ans,ans,ng,en,ing,gen,0.2727272727272727,0.3076923076923077,11,13
masterexamen,best. ~; pl. ?examina ,masterexamen,masterexamens,masterexamen,masterexamens,masterexamina,masterexaminas,masterexamina,masterexaminas,en,ma,ma,mas,mas,en,en,men,men,0.4166666666666667,0.4166666666666667,12,12
organisat·ion,~en ~er ,organisation,organisations,organisationen,organisationens,organisationer,organisationers,organisationerna,organisationernas,en,or,or,org,org,on,en,ion,nen,0.5,0.5,12,14
förkortningslista,~n ?listor ,förkortningslista,förkortningslistas,förkortningslistan,förkortningslistans,förkortningslistor,förkortningslistors,förkortningslistorna,förkortningslistornas,en,fö,fö,för,för,ta,an,sta,tan,0.29411764705882354,0.2777777777777778,17,18
attack,~en ~er ,attack,attacks,attacken,attackens,attacker,attackers,attackerna,attackernas,en,at,at,att,att,ck,en,ack,ken,0.3333333333333333,0.375,6,8
moment,~et; pl. ~ ,moment,moments,momentet,momentets,moment,moments,momenten,momentens,ett,mo,mo,mom,mom,nt,et,ent,tet,0.3333333333333333,0.375,6,8
ursprung,~et; pl. ~ ,ursprung,ursprungs,ursprunget,ursprungets,ursprung,ursprungs,ursprungen,ursprungens,ett,ur,ur,urs,urs,ng,et,ung,get,0.25,0.3,8,10
proposit·ion,~en ~er ,proposition,propositions,propositionen,propositionens,propositioner,propositioners,propositionerna,propositionernas,en,pr,pr,pro,pro,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
konnotat·ion,~en ~er ,konnotation,konnotations,konnotationen,konnotationens,konnotationer,konnotationers,konnotationerna,konnotationernas,en,ko,ko,kon,kon,on,en,ion,nen,0.45454545454545453,0.46153846153846156,11,13
kropp,~en ~ar ,kropp,kropps,kroppen,kroppens,kroppar,kroppars,kropparna,kropparnas,en,kr,kr,kro,kro,pp,en,opp,pen,0.2,0.2857142857142857,5,7
känsla,~n känslor ,känsla,känslas,känslan,känslans,känslor,känslors,känslorna,känslornas,en,kä,kä,kän,kän,la,an,sla,lan,0.3333333333333333,0.2857142857142857,6,7
möte,~t ~n ,möte,mötes,mötet,mötets,möten,mötens,mötena,mötenas,ett,mö,mö,möt,möt,te,et,öte,tet,0.5,0.4,4,5
upplägg,~et; pl. ~ ,upplägg,uppläggs,upplägget,uppläggets,upplägg,uppläggs,uppläggen,uppläggens,ett,up,up,upp,upp,gg,et,ägg,get,0.2857142857142857,0.3333333333333333,7,9
hed,~en ~ar ,hed,heds,heden,hedens,hedar,hedars,hedarna,hedarnas,en,he,he,hed,hed,ed,en,hed,den,0.3333333333333333,0.4,3,5
klass,~en ~er ,klass,klass,klassen,klassens,klasser,klassers,klasserna,klassernas,en,kl,kl,kla,kla,ss,en,ass,sen,0.2,0.2857142857142857,5,7
vän,~nen ~ner ,vän,väns,vännen,vännens,vänner,vänners,vännerna,vännernas,en,vä,vä,vän,vän,än,en,vän,nen,0.3333333333333333,0.3333333333333333,3,6
död,~en ~ar ,död,döds,döden,dödens,dödar,dödars,dödarna,dödarnas,en,dö,dö,död,död,öd,en,död,den,0.3333333333333333,0.4,3,5
aspekt,~en ~er ,aspekt,aspekts,aspekten,aspektens,aspekter,aspekters,aspekterna,aspekternas,en,as,as,asp,asp,kt,en,ekt,ten,0.3333333333333333,0.375,6,8
grabb,~en ~ar ,grabb,grabbs,grabben,grabbens,grabbar,grabbars,grabbarna,grabbarnas,en,gr,gr,gra,gra,bb,en,abb,ben,0.2,0.2857142857142857,5,7
skärning,~en ~ar ,skärning,skärnings,skärningen,skärningens,skärningar,skärningars,skärningarna,skärningarnas,en,sk,sk,skä,skä,ng,en,ing,gen,0.25,0.3,8,10
